iter	Passed	Remaining
0	68	68809
1	79	39769
2	90	29918
3	106	26500
4	132	26287
5	156	25993
6	178	25279
7	188	23378
8	197	21779
9	204	20261
10	212	19105
11	220	18114
12	233	17696
13	244	17201
14	252	16607
15	294	18122
16	305	17680
17	314	17168
18	323	16681
19	334	16413
20	349	16284
21	372	16569
22	380	16147
23	387	15760
24	395	15415
25	401	15026
26	406	14642
27	414	14380
28	424	14207
29	429	13893
30	437	13688
31	445	13481
32	452	13266
33	459	13067
34	467	12881
35	473	12681
36	520	13538
37	547	13865
38	568	14019
39	587	14099
40	595	13931
41	609	13909
42	622	13852
43	637	13845
44	651	13819
45	716	14869
46	741	15043
47	756	15003
48	766	14885
49	781	14857
50	791	14728
51	797	14547
52	806	14402
53	812	14233
54	820	14093
55	827	13957
56	836	13840
57	845	13728
58	851	13580
59	912	14297
60	923	14216
61	931	14096
62	941	13997
63	959	14027
64	968	13929
65	976	13822
66	982	13684
67	989	13561
68	995	13431
69	1006	13376
70	1020	13354
71	1028	13258
72	1037	13173
73	1045	13083
74	1055	13020
75	1062	12915
76	1070	12830
77	1077	12730
78	1086	12665
79	1128	12976
80	1149	13039
81	1171	13115
82	1183	13075
83	1226	13378
84	1246	13416
85	1265	13453
86	1277	13411
87	1357	14072
88	1365	13973
89	1371	13862
90	1376	13754
91	1383	13658
92	1391	13574
93	1399	13487
94	1406	13398
95	1412	13300
96	1418	13206
97	1424	13115
98	1431	13028
99	1441	12969
100	1450	12909
101	1458	12841
102	1469	12796
103	1501	12937
104	1531	13050
105	1558	13141
106	1566	13077
107	1573	12992
108	1581	12930
109	1588	12849
110	1598	12801
111	1604	12719
112	1615	12678
113	1622	12609
114	1630	12547
115	1638	12489
116	1650	12459
117	1694	12662
118	1744	12917
119	1777	13031
120	1785	12970
121	1794	12913
122	1800	12839
123	1810	12787
124	1823	12763
125	1830	12699
126	1842	12663
127	1887	12856
128	1896	12802
129	1905	12751
130	1911	12679
131	1919	12624
132	1929	12575
133	1940	12541
134	1952	12511
135	1960	12455
136	1966	12388
137	1975	12336
138	1980	12270
139	1989	12220
140	1996	12160
141	2002	12098
142	2008	12036
143	2014	11975
144	2022	11924
145	2028	11865
146	2067	11998
147	2083	11994
148	2091	11944
149	2100	11902
150	2108	11854
151	2118	11818
152	2125	11764
153	2143	11777
154	2151	11728
155	2157	11673
156	2165	11627
157	2171	11570
158	2178	11521
159	2186	11476
160	2191	11422
161	2197	11368
162	2203	11313
163	2213	11285
